today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/8/15,3.788234,42.548016,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.792893,42.55351,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.798484,42.550049,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.799412,42.545675,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.788645,42.526044,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.799573,42.546317,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.779903,42.534998,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.794812,42.548016,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.797802,42.544302,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,2.760455,40.784107,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,2.749481,40.696216,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,3.799573,42.545459,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.751733,45.629077,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.766514,45.629077,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.748558,45.22544,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.723185,45.214948,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.704325,45.287073,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.715602,45.684009,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.725456,45.233569,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.735548,45.203859,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.74812,45.210169,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.730329,45.254114,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.703558,45.65105,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.73854,45.105798,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.735526,45.204975,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/9/15,4.729234,45.210169,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,4.74812,45.193689,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,5.303804,45.935266,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,2.815322,41.014819,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
