date,longitude,latitude,ip,type,category,tpm_type,informants
7/14/15,42.543571,3.800228,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.355286,1.799905,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.879905,5.308332,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.120077,2.146123,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.879089,5.308321,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,44.3508,1.796908,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.120598,2.145352,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,44.937012,2.610364,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.203699,4.73573,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.544945,3.799714,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.203293,4.736088,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,n/a,n/a,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.285439,2.33667,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.880291,5.308193,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,44.893796,2.619506,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.200935,4.733553,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.204128,4.735473,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,46.310486,6.242518,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.206211,4.735061,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.203465,4.734805,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,44.893667,2.619388,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.543961,3.79966,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,46.843689,5.044936,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.204042,4.735302,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.113136,2.142282,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.544407,3.799447,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.547614,3.800087,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.546364,3.799552,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,45.203613,4.735345,UNICEF,,Cash Transfers,CC,Beneficiary Interview
